ID,First Name,Second Name,Account Number,Email,Phone,Active,Verified,Admin,Created
1,Meshack,Mwangi,5000,meshmwangi88@gmail.com,0115721877,Yes,No,No,2025-11-29 18:36
2,Meshack,Mwangi,5001,meshmwangi828@gmail.com,0115721877,Yes,No,No,2025-11-29 18:43
3,Mesh,Mwangi,5002,brayanne800@gmail.com,0728538660,Yes,No,No,2025-11-29 18:56
4,Spallis,Kinywero,5003,manchamthreads@gmail.com,0748092931,Yes,Yes,No,2025-11-29 19:34
5,Mesh-Dev,Kingz,5004,manchamthreds@gmail.com,0115721877,Yes,No,No,2025-11-29 19:37
6,Mesh-Dev,Kingz,5005,manchamthads@gmail.com,0115721877,Yes,No,No,2025-11-29 20:47
7,Mesh,Mpenda Haga,5006,baharihomeske@gmail.com,0115721877,Yes,No,No,2025-11-30 01:43
8,Mkuu,Mwangi,5007,manchmdeveloers@gmail.com,0115721877,Yes,No,No,2025-11-30 05:21
9,Training,Web,5008,manchamskools@gmail.com,0115721877,Yes,No,No,2025-12-12 06:23
10,Mesh,Mwangi,5009,tradewise010@gmail.com,0728538660,Yes,No,No,2025-12-17 07:12
11,System,Admin,500000,system@tradewise.com,N/A,Yes,No,Yes,2026-01-06 19:14
12,Alex,Chebet,500001,alex.chebet385@gmail.com,+25479889223,Yes,Yes,No,2026-03-02 19:51
13,Faith,Atieno,500002,faith.atieno592@gmail.com,+25478473956,Yes,Yes,No,2026-03-02 19:51
14,Joseph,Atieno,500003,joseph.atieno984@gmail.com,+25475535253,Yes,Yes,No,2026-03-02 19:51
15,Elizabeth,Chebet,500004,elizabeth.chebet560@gmail.com,+25479681310,Yes,Yes,No,2026-03-02 19:51
16,Collins,Ouma,500005,collins.ouma986@gmail.com,+25471273933,Yes,Yes,No,2026-03-02 19:51
17,Brian,Wafula,500006,brian.wafula782@gmail.com,+25471081871,Yes,Yes,No,2026-03-02 19:51
18,Brenda,Odero,500007,brenda.odero361@gmail.com,+25475261235,Yes,Yes,No,2026-03-02 19:51
19,John,Omondi,500008,john.omondi192@gmail.com,+25475273575,Yes,Yes,No,2026-03-02 19:52
20,Sarah,Kipchoge,500009,sarah.kipchoge57@gmail.com,+25473238590,Yes,Yes,No,2026-03-02 19:52
21,Sarah,Wanjiku,500010,sarah.wanjiku760@gmail.com,+25474292351,Yes,Yes,No,2026-03-02 19:52
22,Brenda,Mutua,500011,brenda.mutua301@gmail.com,+25479171791,Yes,Yes,No,2026-03-02 19:52
23,Irene,Omondi,500012,irene.omondi702@gmail.com,+25477345591,Yes,Yes,No,2026-03-02 19:52
24,Irene,Chebet,500013,irene.chebet12@gmail.com,+25472961034,Yes,Yes,No,2026-03-02 19:52
25,Sarah,Muli,500014,sarah.muli485@gmail.com,+25473886167,Yes,Yes,No,2026-03-02 19:52
26,Lucy,Wekesa,500015,lucy.wekesa923@gmail.com,+25479723369,Yes,Yes,No,2026-03-02 19:52
27,Caroline,Okoth,500016,caroline.okoth473@gmail.com,+25477712724,Yes,Yes,No,2026-03-02 19:52
28,Caroline,Mutua,500017,caroline.mutua138@gmail.com,+25478290244,Yes,Yes,No,2026-03-02 19:52
29,Peter,Omondi,500018,peter.omondi630@gmail.com,+25475257306,Yes,Yes,No,2026-03-02 19:52
30,John,Njeri,500019,john.njeri424@gmail.com,+25472249482,Yes,Yes,No,2026-03-02 19:52
31,Eric,Omondi,500020,eric.omondi1@gmail.com,+25479595085,Yes,Yes,No,2026-03-02 19:52
32,Elizabeth,Wekesa,500021,elizabeth.wekesa132@gmail.com,+25478023801,Yes,Yes,No,2026-03-02 19:52
33,Ann,Mwangi,500022,ann.mwangi348@gmail.com,+25471331369,Yes,Yes,No,2026-03-02 19:52
34,Patrick,Chebet,500023,patrick.chebet46@gmail.com,+25476542485,Yes,Yes,No,2026-03-02 19:52
35,Esther,Kariuki,500024,esther.kariuki266@gmail.com,+25478947395,Yes,Yes,No,2026-03-02 19:52
36,Sharon,Njeri,500025,sharon.njeri835@gmail.com,+25478874056,Yes,Yes,No,2026-03-02 19:52
37,James,Opiyo,500026,james.opiyo703@gmail.com,+25473202036,Yes,Yes,No,2026-03-02 19:52
38,Eric,Odhiambo,500027,eric.odhiambo358@gmail.com,+25472715922,Yes,Yes,No,2026-03-02 19:52
39,Alex,Omondi,500028,alex.omondi925@gmail.com,+25475878114,Yes,Yes,No,2026-03-02 19:52
40,Alex,Njeri,500029,alex.njeri82@gmail.com,+25479043740,Yes,Yes,No,2026-03-02 19:52
41,Elizabeth,Wanjiku,500030,elizabeth.wanjiku385@gmail.com,+25473737268,Yes,Yes,No,2026-03-02 19:52
42,Rose,Ouma,500031,rose.ouma862@gmail.com,+25476205106,Yes,Yes,No,2026-03-02 19:52
43,John,Mutua,500032,john.mutua643@gmail.com,+25472884184,Yes,Yes,No,2026-03-02 19:52
44,Eric,Chebet,500033,eric.chebet756@gmail.com,+25477600831,Yes,Yes,No,2026-03-02 19:52
45,Sharon,Opiyo,500034,sharon.opiyo798@gmail.com,+25478004081,Yes,Yes,No,2026-03-02 19:52
46,James,Wafula,500035,james.wafula756@gmail.com,+25472993151,Yes,Yes,No,2026-03-02 19:52
47,Sarah,Mutua,500036,sarah.mutua836@gmail.com,+25477346242,Yes,Yes,No,2026-03-02 19:52
48,David,Wekesa,500037,david.wekesa67@gmail.com,+25477963659,Yes,Yes,No,2026-03-02 19:52
49,Lucy,Awuor,500038,lucy.awuor132@gmail.com,+25475744529,Yes,Yes,No,2026-03-02 19:52
50,Rose,Njeri,500039,rose.njeri789@gmail.com,+25473955165,Yes,Yes,No,2026-03-02 19:52
51,Patrick,Odero,500040,patrick.odero181@gmail.com,+25475698417,Yes,Yes,No,2026-03-02 19:52
52,James,Wanjala,500041,james.wanjala478@gmail.com,+25474045999,Yes,Yes,No,2026-03-02 19:52
53,Michael,Kipchoge,500042,michael.kipchoge91@gmail.com,+25473185758,Yes,Yes,No,2026-03-02 19:52
54,Diana,Muli,500043,diana.muli929@gmail.com,+25474045283,Yes,Yes,No,2026-03-02 19:52
55,Elizabeth,Wanjiku,500044,elizabeth.wanjiku250@gmail.com,+25472474190,Yes,Yes,No,2026-03-02 19:52
56,Caroline,Odero,500045,caroline.odero145@gmail.com,+25475625916,Yes,Yes,No,2026-03-02 19:52
57,Diana,Ouma,500046,diana.ouma719@gmail.com,+25479448521,Yes,Yes,No,2026-03-02 19:52
58,Ann,Owuor,500047,ann.owuor857@gmail.com,+25473104040,Yes,Yes,No,2026-03-02 19:52
59,Diana,Otieno,500048,diana.otieno950@gmail.com,+25476136145,Yes,Yes,No,2026-03-02 19:52
60,Faith,Wekesa,500049,faith.wekesa558@gmail.com,+25474462550,Yes,Yes,No,2026-03-02 19:52
61,Kevin,Otieno,500050,kevin.otieno895@gmail.com,+25475097490,Yes,Yes,No,2026-03-02 19:52
62,Michael,Otieno,500051,michael.otieno454@gmail.com,+25477155301,Yes,Yes,No,2026-03-02 19:52
63,John,Opiyo,500052,john.opiyo873@gmail.com,+25477740050,Yes,Yes,No,2026-03-02 19:52
64,Eric,Ouma,500053,eric.ouma36@gmail.com,+25477263545,Yes,Yes,No,2026-03-02 19:52
65,Lucy,Ouma,500054,lucy.ouma360@gmail.com,+25474788934,Yes,Yes,No,2026-03-02 19:52
