ID,First Name,Second Name,Full Name,Account Number,Email,Phone,Phone (Original),Active,Verified,Admin,Staff,Last Login,Created Date,Created Time,Created Full,Days Since Signup,Plan,Email Token Present
1,Meshack,Mwangi,Meshack Mwangi,5000,meshmwangi88@gmail.com,0115721877,'0115721877',Yes,No,No,No,Never,2025-11-29,18:36:48,2025-11-29 18:36:48,101,None,Yes
2,Meshack,Mwangi,Meshack Mwangi,5001,meshmwangi828@gmail.com,0115721877,'0115721877',Yes,No,No,No,Never,2025-11-29,18:43:32,2025-11-29 18:43:32,101,None,Yes
3,Mesh,Mwangi,Mesh Mwangi,5002,brayanne800@gmail.com,0728538660,'0728538660',Yes,No,No,No,Never,2025-11-29,18:56:20,2025-11-29 18:56:20,101,None,Yes
4,Spallis,Kinywero,Spallis Kinywero,5003,manchamthreads@gmail.com,0748092931,'0748092931',Yes,Yes,No,No,2025-12-12 06:57:43,2025-11-29,19:34:59,2025-11-29 19:34:59,101,None,No
5,Mesh-Dev,Kingz,Mesh-Dev Kingz,5004,manchamthreds@gmail.com,0115721877,'0115721877',Yes,No,No,No,Never,2025-11-29,19:37:25,2025-11-29 19:37:25,101,None,Yes
6,Mesh-Dev,Kingz,Mesh-Dev Kingz,5005,manchamthads@gmail.com,0115721877,'0115721877',Yes,No,No,No,Never,2025-11-29,20:47:02,2025-11-29 20:47:02,101,None,Yes
7,Mesh,Mpenda Haga,Mesh Mpenda Haga,5006,baharihomeske@gmail.com,0115721877,'0115721877',Yes,No,No,No,Never,2025-11-30,01:43:04,2025-11-30 01:43:04,101,None,Yes
8,Mkuu,Mwangi,Mkuu Mwangi,5007,manchmdeveloers@gmail.com,0115721877,'0115721877',Yes,No,No,No,Never,2025-11-30,05:21:17,2025-11-30 05:21:17,101,None,Yes
9,Training,Web,Training Web,5008,manchamskools@gmail.com,0115721877,'0115721877',Yes,No,No,No,Never,2025-12-12,06:23:56,2025-12-12 06:23:56,89,None,Yes
10,Mesh,Mwangi,Mesh Mwangi,5009,tradewise010@gmail.com,0728538660,'0728538660',Yes,No,No,No,Never,2025-12-17,07:12:48,2025-12-17 07:12:48,84,None,Yes
11,System,Admin,System Admin,500000,system@tradewise.com,Not provided,None,Yes,No,Yes,No,Never,2026-01-06,19:14:14,2026-01-06 19:14:14,63,None,Yes
12,Alex,Chebet,Alex Chebet,500001,alex.chebet385@gmail.com,+25479889223,'+25479889223',Yes,Yes,No,No,Never,2026-03-02,19:51:58,2026-03-02 19:51:58,8,None,Yes
13,Faith,Atieno,Faith Atieno,500002,faith.atieno592@gmail.com,+25478473956,'+25478473956',Yes,Yes,No,No,Never,2026-03-02,19:51:58,2026-03-02 19:51:58,8,None,Yes
14,Joseph,Atieno,Joseph Atieno,500003,joseph.atieno984@gmail.com,+25475535253,'+25475535253',Yes,Yes,No,No,Never,2026-03-02,19:51:59,2026-03-02 19:51:59,8,None,Yes
15,Elizabeth,Chebet,Elizabeth Chebet,500004,elizabeth.chebet560@gmail.com,+25479681310,'+25479681310',Yes,Yes,No,No,Never,2026-03-02,19:51:59,2026-03-02 19:51:59,8,None,Yes
16,Collins,Ouma,Collins Ouma,500005,collins.ouma986@gmail.com,+25471273933,'+25471273933',Yes,Yes,No,No,Never,2026-03-02,19:51:59,2026-03-02 19:51:59,8,None,Yes
17,Brian,Wafula,Brian Wafula,500006,brian.wafula782@gmail.com,+25471081871,'+25471081871',Yes,Yes,No,No,Never,2026-03-02,19:51:59,2026-03-02 19:51:59,8,None,Yes
18,Brenda,Odero,Brenda Odero,500007,brenda.odero361@gmail.com,+25475261235,'+25475261235',Yes,Yes,No,No,Never,2026-03-02,19:51:59,2026-03-02 19:51:59,8,None,Yes
